cpf,hora,data,produto,preço,quantidade,pdv,operadora,operação,total
436.891.750-20,09:47,30/07/2023,Sal,2.3,8,14,Natália,dinheiro,18.4
462.179.385-37,17:18,21/07/2023,Sabonete,3.5,3,5,Ana,cartão_debito,10.5
468.307.129-04,21:44,19/07/2023,Cerveja,7.5,7,8,Brenda,cartão_debito,52.5
805.473.962-10,14:26,10/07/2023,Detergente liquido,2.5,9,18,Caroline,cartão_credito,22.5
863.125.974-82,12:08,21/07/2023,Farinha,2.7,2,4,Maria Luiza,cartão_debito,5.4
048.196.375-84,14:36,04/07/2023,Escova dental,15.5,4,7,Milena,pix,62.0
785.146.023-90,09:21,11/07/2023,Linguiça frango,9.7,2,1,Natália,cartão_credito,19.4
419.720.853-79,19:46,15/07/2023,Alcatra,45.7,10,16,Maria Luiza,cartão_credito,457.0
845.607.391-10,13:19,19/07/2023,Feijão,15.5,5,17,Isadora,pix,77.5
329.801.564-42,15:16,11/07/2023,Cerveja,7.5,7,17,Brenda,dinheiro,52.5
805.614.923-60,15:55,26/07/2023,Cerveja,7.5,2,3,Isadora,pix,15.0
732.650.914-06,13:27,03/07/2023,Detergente liquido,2.5,9,5,Natália,cartão_debito,22.5
198.250.437-41,22:58,11/07/2023,Gelatina,2.4,10,6,Maria Cecília,cartão_credito,24.0
752.631.049-52,11:21,05/07/2023,Cenoura,7.1,2,1,Milena,dinheiro,14.2
593.641.287-37,21:57,25/07/2023,Esponja de aço,5.5,7,15,Maria Luiza,dinheiro,38.5
732.650.914-06,13:31,21/07/2023,Tomate,8.2,5,1,Stephany,pix,41.0
041.639.752-25,14:09,28/07/2023,Esponja de aço,5.5,9,10,Maria Luiza,cartão_credito,49.5
369.841.052-42,21:08,30/07/2023,File de frango,19.2,2,20,Maria Julia,pix,38.4
805.614.923-60,11:32,01/07/2023,File de frango,19.2,8,21,Maria Luiza,cartão_debito,153.6
157.296.043-43,20:38,06/07/2023,Feijão,15.5,1,20,Maria Luiza,pix,15.5
069.738.451-93,15:10,26/07/2023,Linguiça frango,9.7,8,5,Maria Luiza,cartão_debito,77.6
012.875.936-40,18:12,20/07/2023,Morango,7.5,7,16,Maria Cecília,cartão_debito,52.5
732.650.914-06,12:04,18/07/2023,Vinho,17.7,6,21,Maria Julia,dinheiro,106.2
810.295.463-98,18:34,13/07/2023,Cafe,9.5,2,4,Ana,cartão_credito,19.0
436.891.750-20,16:09,13/07/2023,Ovos,18.2,2,10,Maria Luiza,dinheiro,36.4
890.234.517-32,11:23,29/07/2023,Esponja de aço,5.5,8,19,Maria Luiza,pix,44.0
719.628.034-22,18:05,07/07/2023,Detergente liquido,2.5,2,13,Isadora,cartão_debito,5.0
803.615.947-39,12:19,29/07/2023,Vinho,17.7,2,18,Isadora,cartão_credito,35.4
624.705.981-76,17:58,16/07/2023,Picanha,50.4,5,5,Isadora,dinheiro,252.0
604.938.712-50,21:30,03/07/2023,Sabonete,3.5,2,6,Natália,pix,7.0
860.357.192-95,10:23,22/07/2023,File de frango,19.2,3,10,Brenda,dinheiro,57.6
069.738.451-93,09:45,28/07/2023,Picanha,50.4,3,16,Stephany,pix,151.2
483.657.209-65,22:18,18/07/2023,Alcatra,45.7,3,21,Isadora,cartão_credito,137.1
784.956.031-01,19:56,11/07/2023,Refrigerante lata,4.7,1,3,Stephany,cartão_credito,4.7
483.657.209-65,18:49,15/07/2023,Feijão,15.5,6,2,Brenda,pix,93.0
329.801.564-42,19:52,11/07/2023,Linguiça frango,9.7,6,3,Stephany,dinheiro,58.2
890.234.517-32,14:27,04/07/2023,File de frango,19.2,7,3,Stephany,dinheiro,134.4
715.408.269-02,08:18,25/07/2023,Picanha,50.4,8,4,Milena,cartão_credito,403.2
048.196.375-84,20:15,11/07/2023,Cenoura,7.1,7,9,Caroline,cartão_credito,49.7
805.473.962-10,22:09,09/07/2023,Cafe,9.5,4,19,Natália,cartão_debito,38.0
845.607.391-10,21:12,02/07/2023,Escova dental,15.5,7,17,Maria Cecília,cartão_debito,108.5
853.164.790-84,11:00,23/07/2023,Feijão,15.5,4,19,Natália,dinheiro,62.0
564.823.109-15,12:30,04/07/2023,Açúcar,25.5,2,17,Ana,pix,51.0
157.296.043-43,22:35,18/07/2023,Cerveja,7.5,9,20,Milena,cartão_credito,67.5
263.179.804-03,08:22,12/07/2023,Açúcar,25.5,3,11,Natália,cartão_credito,76.5
901.648.527-94,16:51,29/07/2023,Escova dental,15.5,10,10,Isadora,cartão_debito,155.0
785.146.023-90,15:02,26/07/2023,Escova dental,15.5,10,20,Stephany,cartão_debito,155.0
840.617.235-53,17:15,18/07/2023,Arroz,21.7,1,14,Maria Julia,cartão_credito,21.7
569.403.271-34,10:10,09/07/2023,Picanha,50.4,10,20,Caroline,pix,504.0
064.379.815-39,15:20,17/07/2023,Detergente liquido,2.5,1,9,Ana,dinheiro,2.5
073.241.958-14,14:56,10/07/2023,Cenoura,7.1,10,17,Maria Luiza,cartão_debito,71.0
921.543.870-04,09:03,13/07/2023,Óleo de cozinha,8.9,2,4,Stephany,dinheiro,17.8
215.873.490-60,22:28,27/07/2023,Tomate,8.2,2,8,Stephany,cartão_debito,16.4
519.734.206-43,19:39,19/07/2023,Detergente liquido,2.5,1,15,Maria Cecília,cartão_debito,2.5
064.379.815-39,12:44,24/07/2023,Açúcar,25.5,5,4,Maria Cecília,pix,127.5
254.193.867-55,14:51,12/07/2023,Açúcar,25.5,2,19,Caroline,dinheiro,51.0
329.801.564-42,20:37,24/07/2023,Feijão,15.5,7,14,Maria Cecília,cartão_debito,108.5
823.570.469-29,16:14,17/07/2023,Feijão,15.5,9,5,Maria Luiza,pix,139.5
890.234.517-32,16:25,14/07/2023,Gelatina,2.4,5,1,Milena,cartão_debito,12.0
723.510.694-80,20:19,19/07/2023,Picanha,50.4,8,3,Brenda,pix,403.2
758.210.493-50,22:55,09/07/2023,File de frango,19.2,5,4,Brenda,cartão_debito,96.0
823.570.469-29,19:25,01/07/2023,Óleo de cozinha,8.9,7,21,Maria Cecília,cartão_credito,62.3
207.651.839-86,12:18,28/07/2023,Detergente liquido,2.5,5,21,Maria Cecília,cartão_credito,12.5
369.841.052-42,13:25,05/07/2023,Ovos,18.2,3,7,Milena,dinheiro,54.6
864.279.053-92,16:48,24/07/2023,Feijão,15.5,5,21,Natália,dinheiro,77.5
762.945.831-28,18:34,19/07/2023,Gelatina,2.4,10,21,Maria Luiza,pix,24.0
096.785.421-02,10:31,22/07/2023,Ovos,18.2,8,11,Maria Luiza,dinheiro,145.6
369.841.052-42,18:37,08/07/2023,Vinho,17.7,4,18,Stephany,dinheiro,70.8
254.193.867-55,19:04,29/07/2023,Óleo de cozinha,8.9,9,12,Maria Luiza,pix,80.1
130.294.586-60,15:04,20/07/2023,Morango,7.5,1,20,Caroline,cartão_debito,7.5
860.357.192-95,09:55,10/07/2023,Morango,7.5,5,6,Stephany,dinheiro,37.5
064.379.815-39,13:01,15/07/2023,Picanha,50.4,9,4,Maria Luiza,dinheiro,453.6
207.651.839-86,11:33,21/07/2023,Cenoura,7.1,2,4,Isadora,dinheiro,14.2
123.407.685-35,22:55,11/07/2023,Cerveja,7.5,8,11,Ana,cartão_credito,60.0
723.510.694-80,21:59,03/07/2023,File de frango,19.2,5,11,Stephany,dinheiro,96.0
791.230.458-41,12:53,25/07/2023,Cerveja,7.5,5,11,Brenda,pix,37.5
041.639.752-25,21:57,15/07/2023,Escova dental,15.5,7,13,Milena,cartão_credito,108.5
652.378.904-74,12:06,29/07/2023,Feijão,15.5,2,8,Maria Luiza,cartão_debito,31.0
254.193.867-55,10:59,23/07/2023,Morango,7.5,1,6,Maria Luiza,dinheiro,7.5
295.073.846-00,12:07,17/07/2023,Sabonete,3.5,10,11,Caroline,pix,35.0
827.963.014-78,19:34,28/07/2023,Gelatina,2.4,9,20,Milena,cartão_credito,21.6
963.128.074-87,22:07,20/07/2023,Vinho,17.7,9,17,Caroline,dinheiro,159.3
732.650.914-06,15:45,20/07/2023,Esponja de aço,5.5,6,8,Caroline,cartão_credito,33.0
564.823.109-15,21:46,13/07/2023,Linguiça frango,9.7,3,15,Maria Luiza,dinheiro,29.1
064.379.815-39,08:04,12/07/2023,Tomate,8.2,6,5,Maria Julia,dinheiro,49.2
261.850.473-90,16:58,27/07/2023,Detergente liquido,2.5,5,1,Isadora,cartão_debito,12.5
863.125.974-82,16:42,27/07/2023,Óleo de cozinha,8.9,2,3,Maria Luiza,cartão_credito,17.8
853.164.790-84,10:46,09/07/2023,Óleo de cozinha,8.9,2,19,Brenda,pix,17.8
096.785.421-02,13:15,26/07/2023,Gelatina,2.4,6,19,Natália,dinheiro,14.4
130.294.586-60,19:42,14/07/2023,Óleo de cozinha,8.9,5,18,Natália,cartão_credito,44.5
823.570.469-29,12:53,11/07/2023,Ovos,18.2,2,12,Maria Cecília,dinheiro,36.4
157.296.043-43,21:18,08/07/2023,File de frango,19.2,5,20,Maria Julia,cartão_credito,96.0
604.938.712-50,08:48,12/07/2023,Alcatra,45.7,2,6,Natália,cartão_debito,91.4
910.853.267-21,22:41,11/07/2023,Farinha,2.7,7,18,Caroline,pix,18.9
982.546.103-98,22:11,16/07/2023,Morango,7.5,7,11,Stephany,cartão_credito,52.5
096.785.421-02,17:44,20/07/2023,Sal,2.3,4,11,Natália,cartão_debito,9.2
758.210.493-50,13:45,05/07/2023,Gelatina,2.4,9,8,Caroline,pix,21.6
910.853.267-21,20:22,28/07/2023,Morango,7.5,4,14,Brenda,cartão_debito,30.0
890.234.517-32,21:11,10/07/2023,Arroz,21.7,7,6,Natália,cartão_debito,151.9
906.172.385-02,09:55,10/07/2023,Morango,7.5,7,14,Maria Luiza,pix,52.5
604.938.712-50,12:48,08/07/2023,Morango,7.5,3,18,Natália,pix,22.5
436.891.750-20,19:26,07/07/2023,Vinho,17.7,2,8,Milena,cartão_credito,35.4
910.853.267-21,13:00,06/07/2023,Vinho,17.7,6,7,Natália,cartão_debito,106.2
624.705.981-76,16:55,05/07/2023,Vinho,17.7,5,6,Milena,cartão_credito,88.5
426.301.598-33,13:31,05/07/2023,Linguiça frango,9.7,1,6,Natália,dinheiro,9.7
803.615.947-39,19:37,20/07/2023,Açúcar,25.5,5,4,Maria Julia,dinheiro,127.5
802.613.579-21,13:19,21/07/2023,Sal,2.3,9,5,Ana,cartão_debito,20.7
041.639.752-25,16:54,07/07/2023,Sal,2.3,3,6,Caroline,cartão_debito,6.9
840.617.235-53,17:04,04/07/2023,Esponja de aço,5.5,3,13,Milena,pix,16.5
384.071.659-48,15:17,13/07/2023,Detergente liquido,2.5,6,10,Ana,dinheiro,15.0
109.783.654-10,18:04,06/07/2023,Morango,7.5,7,18,Natália,cartão_debito,52.5
910.853.267-21,22:59,21/07/2023,File de frango,19.2,5,14,Maria Julia,pix,96.0
846.732.951-37,09:50,09/07/2023,File de frango,19.2,10,10,Maria Cecília,dinheiro,192.0
901.648.527-94,14:23,28/07/2023,Feijão,15.5,2,10,Maria Julia,pix,31.0
614.297.038-22,15:09,21/07/2023,Sal,2.3,8,7,Ana,dinheiro,18.4
752.631.049-52,18:00,22/07/2023,Morango,7.5,7,9,Caroline,pix,52.5
569.403.271-34,16:32,18/07/2023,Ovos,18.2,5,3,Maria Julia,pix,91.0
426.301.598-33,18:04,19/07/2023,Morango,7.5,4,2,Maria Julia,dinheiro,30.0
384.071.659-48,19:33,29/07/2023,File de frango,19.2,1,20,Natália,cartão_credito,19.2
937.615.420-70,18:01,24/07/2023,Esponja de aço,5.5,2,9,Brenda,cartão_debito,11.0
762.945.831-28,09:25,10/07/2023,Alcatra,45.7,2,3,Natália,cartão_credito,91.4
910.853.267-21,12:51,07/07/2023,Feijão,15.5,10,2,Ana,dinheiro,155.0
138.456.920-06,11:55,30/07/2023,Cafe,9.5,5,15,Natália,cartão_credito,47.5
890.234.517-32,14:20,22/07/2023,Alcatra,45.7,4,13,Isadora,pix,182.8
802.613.579-21,09:26,19/07/2023,Gelatina,2.4,10,3,Natália,dinheiro,24.0
064.379.815-39,18:54,28/07/2023,Sabonete,3.5,10,1,Maria Luiza,dinheiro,35.0
718.296.305-12,21:51,18/07/2023,Vinho,17.7,6,1,Maria Luiza,pix,106.2
702.431.958-50,15:20,27/07/2023,Feijão,15.5,8,19,Maria Julia,cartão_debito,124.0
531.480.729-79,10:55,11/07/2023,Refrigerante lata,4.7,2,14,Maria Julia,cartão_credito,9.4
034.278.591-50,12:49,01/07/2023,Refrigerante lata,4.7,1,13,Maria Julia,cartão_debito,4.7
418.907.352-05,22:38,07/07/2023,Detergente liquido,2.5,3,14,Stephany,cartão_credito,7.5
261.850.473-90,18:29,03/07/2023,Escova dental,15.5,6,10,Isadora,pix,93.0
012.875.936-40,14:03,04/07/2023,Picanha,50.4,5,8,Maria Luiza,cartão_credito,252.0
784.956.031-01,14:41,08/07/2023,Açúcar,25.5,6,20,Stephany,dinheiro,153.0
468.307.129-04,13:53,02/07/2023,Alcatra,45.7,5,18,Ana,cartão_credito,228.5
569.403.271-34,09:04,13/07/2023,Alcatra,45.7,1,5,Caroline,pix,45.7
702.431.958-50,11:59,30/07/2023,Tomate,8.2,9,20,Maria Luiza,cartão_credito,73.8
758.210.493-50,17:21,03/07/2023,Arroz,21.7,2,21,Maria Cecília,pix,43.4
715.408.269-02,15:45,12/07/2023,Morango,7.5,5,3,Natália,dinheiro,37.5
845.607.391-10,19:18,17/07/2023,Ovos,18.2,4,7,Milena,cartão_debito,72.8
784.956.031-01,08:28,28/07/2023,Escova dental,15.5,4,13,Caroline,cartão_debito,62.0
109.783.654-10,21:04,01/07/2023,Feijão,15.5,10,14,Natália,cartão_credito,155.0
645.312.987-64,21:54,01/07/2023,Esponja de aço,5.5,7,13,Maria Luiza,dinheiro,38.5
732.650.914-06,08:48,19/07/2023,Detergente liquido,2.5,3,18,Stephany,cartão_debito,7.5
261.850.473-90,14:04,02/07/2023,File de frango,19.2,2,9,Maria Cecília,dinheiro,38.4
702.431.958-50,13:58,14/07/2023,Picanha,50.4,5,11,Maria Luiza,cartão_debito,252.0
937.615.420-70,11:03,19/07/2023,Escova dental,15.5,4,5,Stephany,cartão_debito,62.0
675.430.128-71,11:28,17/07/2023,Cafe,9.5,2,10,Isadora,cartão_debito,19.0
937.615.420-70,18:03,21/07/2023,Alcatra,45.7,8,10,Maria Luiza,cartão_debito,365.6
041.639.752-25,14:55,23/07/2023,Cerveja,7.5,8,11,Maria Luiza,pix,60.0
529.834.061-05,16:43,11/07/2023,Esponja de aço,5.5,3,18,Brenda,cartão_credito,16.5
963.128.074-87,19:29,21/07/2023,File de frango,19.2,6,4,Maria Luiza,cartão_credito,115.2
738.596.420-65,20:29,19/07/2023,Ovos,18.2,10,18,Maria Luiza,dinheiro,182.0
215.873.490-60,20:05,19/07/2023,Gelatina,2.4,9,13,Maria Julia,cartão_debito,21.6
805.614.923-60,19:34,01/07/2023,Alcatra,45.7,6,19,Ana,cartão_credito,274.2
462.179.385-37,21:46,10/07/2023,Morango,7.5,2,10,Milena,pix,15.0
762.945.831-28,11:09,13/07/2023,Vinho,17.7,7,21,Caroline,dinheiro,123.9
048.196.375-84,22:50,22/07/2023,Morango,7.5,2,8,Maria Cecília,cartão_credito,15.0
436.891.750-20,18:59,28/07/2023,Óleo de cozinha,8.9,7,7,Natália,dinheiro,62.3
614.297.038-22,17:11,26/07/2023,File de frango,19.2,8,21,Ana,dinheiro,153.6
827.963.014-78,18:31,12/07/2023,Picanha,50.4,1,17,Milena,cartão_credito,50.4
593.641.287-37,11:15,28/07/2023,Picanha,50.4,1,3,Caroline,cartão_credito,50.4
845.607.391-10,19:58,16/07/2023,Detergente liquido,2.5,3,11,Milena,cartão_credito,7.5
985.364.701-00,13:56,07/07/2023,Gelatina,2.4,2,18,Natália,cartão_debito,4.8
215.873.490-60,12:28,07/07/2023,Refrigerante lata,4.7,5,10,Maria Julia,cartão_debito,23.5
921.543.870-04,19:48,09/07/2023,Arroz,21.7,8,4,Natália,dinheiro,173.6
910.853.267-21,18:16,20/07/2023,Alcatra,45.7,4,12,Maria Julia,dinheiro,182.8
695.281.740-94,11:12,03/07/2023,Detergente liquido,2.5,10,4,Maria Cecília,pix,25.0
640.825.931-60,13:02,10/07/2023,Tomate,8.2,6,17,Natália,cartão_debito,49.2
846.732.951-37,21:56,04/07/2023,Picanha,50.4,7,21,Ana,pix,352.8
718.296.305-12,11:55,10/07/2023,Cerveja,7.5,7,2,Ana,dinheiro,52.5
426.301.598-33,14:15,19/07/2023,Ovos,18.2,7,17,Ana,cartão_debito,127.4
802.613.579-21,20:11,26/07/2023,Linguiça frango,9.7,10,17,Maria Luiza,cartão_credito,97.0
073.241.958-14,10:34,04/07/2023,File de frango,19.2,7,1,Isadora,pix,134.4
853.164.790-84,18:25,15/07/2023,Sal,2.3,6,2,Maria Cecília,cartão_credito,13.8
857.132.409-32,08:10,09/07/2023,Cafe,9.5,2,12,Maria Julia,dinheiro,19.0
426.301.598-33,18:12,23/07/2023,Gelatina,2.4,7,9,Natália,cartão_credito,16.8
123.407.685-35,12:24,04/07/2023,Esponja de aço,5.5,6,5,Maria Luiza,pix,33.0
715.408.269-02,09:56,22/07/2023,Escova dental,15.5,1,12,Maria Luiza,cartão_debito,15.5
863.125.974-82,09:33,22/07/2023,Tomate,8.2,8,19,Milena,cartão_debito,65.6
531.480.729-79,19:09,21/07/2023,Cafe,9.5,9,8,Stephany,cartão_credito,85.5
519.734.206-43,12:49,19/07/2023,Linguiça frango,9.7,10,10,Brenda,dinheiro,97.0
675.430.128-71,20:59,06/07/2023,Esponja de aço,5.5,7,1,Natália,dinheiro,38.5
984.013.257-14,17:42,06/07/2023,Esponja de aço,5.5,3,6,Stephany,dinheiro,16.5
130.294.586-60,14:19,28/07/2023,Refrigerante lata,4.7,10,20,Milena,dinheiro,47.0
384.071.659-48,19:18,11/07/2023,Açúcar,25.5,3,12,Maria Julia,cartão_debito,76.5
261.850.473-90,20:44,16/07/2023,Sal,2.3,10,17,Milena,dinheiro,23.0
943.102.856-51,14:06,04/07/2023,Esponja de aço,5.5,1,3,Brenda,pix,5.5
853.164.790-84,18:41,13/07/2023,Açúcar,25.5,3,12,Stephany,dinheiro,76.5
718.296.305-12,13:07,24/07/2023,Sabonete,3.5,4,9,Milena,cartão_debito,14.0
426.301.598-33,11:45,11/07/2023,Vinho,17.7,9,7,Natália,pix,159.3
798.213.065-86,21:19,19/07/2023,Cenoura,7.1,2,1,Ana,dinheiro,14.2
853.164.790-84,08:12,05/07/2023,Cerveja,7.5,4,1,Caroline,cartão_debito,30.0
853.164.790-84,11:21,14/07/2023,Vinho,17.7,10,12,Natália,pix,177.0
215.873.490-60,20:45,11/07/2023,Detergente liquido,2.5,9,12,Isadora,pix,22.5
857.132.409-32,21:16,10/07/2023,Escova dental,15.5,7,21,Milena,cartão_debito,108.5
065.138.274-26,09:17,23/07/2023,Óleo de cozinha,8.9,7,14,Caroline,dinheiro,62.3
130.294.586-60,20:00,26/07/2023,Cenoura,7.1,4,1,Natália,cartão_credito,28.4
521.364.079-61,10:04,04/07/2023,File de frango,19.2,3,21,Maria Julia,cartão_credito,57.6
840.617.235-53,16:31,02/07/2023,Picanha,50.4,9,17,Maria Julia,cartão_debito,453.6
803.615.947-39,16:40,15/07/2023,Linguiça frango,9.7,3,12,Natália,cartão_credito,29.1
109.783.654-10,09:26,05/07/2023,Picanha,50.4,5,1,Isadora,dinheiro,252.0
921.543.870-04,21:55,28/07/2023,Picanha,50.4,8,12,Caroline,dinheiro,403.2
845.607.391-10,19:42,13/07/2023,Linguiça frango,9.7,4,16,Maria Luiza,cartão_debito,38.8
065.138.274-26,09:08,18/07/2023,Morango,7.5,7,18,Brenda,cartão_credito,52.5
436.891.750-20,15:21,11/07/2023,Escova dental,15.5,6,3,Caroline,dinheiro,93.0
863.125.974-82,08:59,04/07/2023,Morango,7.5,5,4,Maria Luiza,cartão_credito,37.5
